time,pickers_busy,available_pickers,queue_length,queue_full,picker_utilization,system_pressure,over_capacity_pressure
0.0,0,8,0,False,0.0,0,False
1.0,8,0,2,False,1.0,10,True
2.0,8,0,1,False,1.0,9,True
3.0,8,0,2,False,1.0,10,True
4.0,8,0,5,True,1.0,13,True
5.0,8,0,3,False,1.0,11,True
6.0,8,0,0,False,1.0,8,False
7.0,8,0,3,False,1.0,11,True
8.0,8,0,4,False,1.0,12,True
9.0,8,0,3,False,1.0,11,True
10.0,8,0,3,False,1.0,11,True
11.0,8,0,1,False,1.0,9,True
12.0,8,0,0,False,1.0,8,False
13.0,7,1,0,False,0.875,7,False
14.0,8,0,1,False,1.0,9,True
15.0,8,0,2,False,1.0,10,True
16.0,8,0,0,False,1.0,8,False
17.0,8,0,3,False,1.0,11,True
18.0,8,0,4,False,1.0,12,True
19.0,8,0,2,False,1.0,10,True
20.0,8,0,2,False,1.0,10,True
21.0,8,0,2,False,1.0,10,True
22.0,8,0,2,False,1.0,10,True
23.0,8,0,3,False,1.0,11,True
24.0,8,0,0,False,1.0,8,False
25.0,8,0,1,False,1.0,9,True
26.0,6,2,0,False,0.75,6,False
27.0,7,1,0,False,0.875,7,False
28.0,8,0,1,False,1.0,9,True
29.0,8,0,1,False,1.0,9,True
30.0,8,0,4,False,1.0,12,True
31.0,8,0,3,False,1.0,11,True
32.0,8,0,3,False,1.0,11,True
33.0,8,0,1,False,1.0,9,True
34.0,8,0,4,False,1.0,12,True
35.0,8,0,3,False,1.0,11,True
36.0,8,0,4,False,1.0,12,True
37.0,8,0,1,False,1.0,9,True
38.0,8,0,4,False,1.0,12,True
39.0,8,0,5,True,1.0,13,True
40.0,8,0,4,False,1.0,12,True
41.0,8,0,4,False,1.0,12,True
42.0,8,0,2,False,1.0,10,True
43.0,8,0,1,False,1.0,9,True
44.0,8,0,4,False,1.0,12,True
45.0,8,0,3,False,1.0,11,True
46.0,8,0,1,False,1.0,9,True
47.0,8,0,2,False,1.0,10,True
48.0,8,0,2,False,1.0,10,True
49.0,8,0,2,False,1.0,10,True
50.0,8,0,1,False,1.0,9,True
51.0,8,0,3,False,1.0,11,True
52.0,8,0,2,False,1.0,10,True
53.0,7,1,0,False,0.875,7,False
54.0,8,0,3,False,1.0,11,True
55.0,8,0,4,False,1.0,12,True
56.0,8,0,3,False,1.0,11,True
57.0,8,0,2,False,1.0,10,True
58.0,8,0,4,False,1.0,12,True
59.0,8,0,1,False,1.0,9,True
60.0,8,0,4,False,1.0,12,True
61.0,8,0,3,False,1.0,11,True
62.0,8,0,1,False,1.0,9,True
63.0,8,0,1,False,1.0,9,True
64.0,8,0,4,False,1.0,12,True
65.0,8,0,3,False,1.0,11,True
66.0,8,0,2,False,1.0,10,True
67.0,8,0,1,False,1.0,9,True
68.0,8,0,0,False,1.0,8,False
69.0,6,2,0,False,0.75,6,False
70.0,7,1,0,False,0.875,7,False
71.0,8,0,3,False,1.0,11,True
72.0,8,0,2,False,1.0,10,True
73.0,8,0,3,False,1.0,11,True
74.0,8,0,4,False,1.0,12,True
75.0,8,0,3,False,1.0,11,True
76.0,8,0,4,False,1.0,12,True
77.0,8,0,3,False,1.0,11,True
78.0,8,0,3,False,1.0,11,True
79.0,8,0,3,False,1.0,11,True
80.0,8,0,1,False,1.0,9,True
81.0,7,1,0,False,0.875,7,False
82.0,8,0,1,False,1.0,9,True
83.0,8,0,4,False,1.0,12,True
84.0,8,0,0,False,1.0,8,False
85.0,8,0,3,False,1.0,11,True
86.0,8,0,1,False,1.0,9,True
87.0,8,0,2,False,1.0,10,True
88.0,8,0,0,False,1.0,8,False
89.0,8,0,0,False,1.0,8,False
90.0,8,0,3,False,1.0,11,True
91.0,8,0,1,False,1.0,9,True
92.0,8,0,2,False,1.0,10,True
93.0,8,0,2,False,1.0,10,True
94.0,8,0,1,False,1.0,9,True
95.0,8,0,1,False,1.0,9,True
96.0,8,0,4,False,1.0,12,True
97.0,7,1,0,False,0.875,7,False
98.0,8,0,1,False,1.0,9,True
99.0,8,0,1,False,1.0,9,True
100.0,8,0,2,False,1.0,10,True
101.0,8,0,3,False,1.0,11,True
102.0,8,0,5,True,1.0,13,True
103.0,8,0,4,False,1.0,12,True
104.0,7,1,0,False,0.875,7,False
105.0,8,0,3,False,1.0,11,True
106.0,8,0,3,False,1.0,11,True
107.0,7,1,0,False,0.875,7,False
108.0,6,2,0,False,0.75,6,False
109.0,8,0,1,False,1.0,9,True
110.0,8,0,3,False,1.0,11,True
111.0,8,0,2,False,1.0,10,True
112.0,8,0,3,False,1.0,11,True
113.0,8,0,2,False,1.0,10,True
114.0,8,0,4,False,1.0,12,True
115.0,8,0,3,False,1.0,11,True
116.0,8,0,2,False,1.0,10,True
117.0,8,0,3,False,1.0,11,True
118.0,8,0,3,False,1.0,11,True
119.0,8,0,3,False,1.0,11,True
120.0,8,0,3,False,1.0,11,True
121.0,8,0,1,False,1.0,9,True
122.0,8,0,3,False,1.0,11,True
123.0,8,0,4,False,1.0,12,True
124.0,8,0,2,False,1.0,10,True
125.0,8,0,3,False,1.0,11,True
126.0,8,0,3,False,1.0,11,True
127.0,8,0,2,False,1.0,10,True
128.0,8,0,4,False,1.0,12,True
129.0,8,0,4,False,1.0,12,True
130.0,8,0,0,False,1.0,8,False
131.0,8,0,2,False,1.0,10,True
132.0,8,0,1,False,1.0,9,True
133.0,8,0,3,False,1.0,11,True
134.0,8,0,2,False,1.0,10,True
135.0,8,0,3,False,1.0,11,True
136.0,8,0,3,False,1.0,11,True
137.0,8,0,4,False,1.0,12,True
138.0,8,0,5,True,1.0,13,True
139.0,7,1,0,False,0.875,7,False
140.0,7,1,0,False,0.875,7,False
141.0,8,0,2,False,1.0,10,True
142.0,8,0,2,False,1.0,10,True
143.0,8,0,0,False,1.0,8,False
144.0,8,0,2,False,1.0,10,True
145.0,8,0,2,False,1.0,10,True
146.0,7,1,0,False,0.875,7,False
147.0,7,1,0,False,0.875,7,False
148.0,8,0,1,False,1.0,9,True
149.0,8,0,3,False,1.0,11,True
150.0,8,0,4,False,1.0,12,True
151.0,8,0,0,False,1.0,8,False
152.0,8,0,0,False,1.0,8,False
153.0,8,0,2,False,1.0,10,True
154.0,8,0,1,False,1.0,9,True
155.0,8,0,4,False,1.0,12,True
156.0,8,0,2,False,1.0,10,True
157.0,8,0,2,False,1.0,10,True
158.0,8,0,3,False,1.0,11,True
159.0,6,2,0,False,0.75,6,False
160.0,8,0,2,False,1.0,10,True
161.0,8,0,1,False,1.0,9,True
162.0,8,0,4,False,1.0,12,True
163.0,8,0,4,False,1.0,12,True
164.0,8,0,1,False,1.0,9,True
165.0,8,0,2,False,1.0,10,True
166.0,8,0,2,False,1.0,10,True
167.0,8,0,0,False,1.0,8,False
168.0,7,1,0,False,0.875,7,False
169.0,8,0,2,False,1.0,10,True
170.0,8,0,3,False,1.0,11,True
171.0,8,0,2,False,1.0,10,True
172.0,8,0,2,False,1.0,10,True
173.0,8,0,3,False,1.0,11,True
174.0,8,0,1,False,1.0,9,True
175.0,7,1,0,False,0.875,7,False
176.0,7,1,0,False,0.875,7,False
177.0,8,0,2,False,1.0,10,True
178.0,8,0,1,False,1.0,9,True
179.0,8,0,0,False,1.0,8,False
180.0,8,0,1,False,1.0,9,True
181.0,4,4,0,False,0.5,4,False
182.0,6,2,0,False,0.75,6,False
183.0,8,0,2,False,1.0,10,True
184.0,8,0,3,False,1.0,11,True
185.0,8,0,1,False,1.0,9,True
186.0,8,0,2,False,1.0,10,True
187.0,8,0,1,False,1.0,9,True
188.0,8,0,0,False,1.0,8,False
189.0,7,1,0,False,0.875,7,False
190.0,8,0,1,False,1.0,9,True
191.0,8,0,2,False,1.0,10,True
192.0,8,0,1,False,1.0,9,True
193.0,8,0,2,False,1.0,10,True
194.0,8,0,2,False,1.0,10,True
195.0,8,0,3,False,1.0,11,True
196.0,8,0,0,False,1.0,8,False
197.0,8,0,4,False,1.0,12,True
198.0,7,1,0,False,0.875,7,False
199.0,8,0,0,False,1.0,8,False
200.0,6,2,0,False,0.75,6,False
201.0,8,0,1,False,1.0,9,True
202.0,8,0,1,False,1.0,9,True
203.0,7,1,0,False,0.875,7,False
204.0,7,1,0,False,0.875,7,False
205.0,8,0,2,False,1.0,10,True
206.0,8,0,1,False,1.0,9,True
207.0,8,0,0,False,1.0,8,False
208.0,8,0,3,False,1.0,11,True
209.0,8,0,2,False,1.0,10,True
210.0,8,0,3,False,1.0,11,True
211.0,8,0,3,False,1.0,11,True
212.0,8,0,2,False,1.0,10,True
213.0,8,0,0,False,1.0,8,False
214.0,8,0,3,False,1.0,11,True
215.0,8,0,4,False,1.0,12,True
216.0,8,0,1,False,1.0,9,True
217.0,8,0,4,False,1.0,12,True
218.0,8,0,2,False,1.0,10,True
219.0,8,0,1,False,1.0,9,True
220.0,8,0,1,False,1.0,9,True
221.0,7,1,0,False,0.875,7,False
222.0,8,0,1,False,1.0,9,True
223.0,8,0,3,False,1.0,11,True
224.0,8,0,4,False,1.0,12,True
225.0,8,0,1,False,1.0,9,True
226.0,8,0,0,False,1.0,8,False
227.0,8,0,3,False,1.0,11,True
228.0,8,0,3,False,1.0,11,True
229.0,7,1,0,False,0.875,7,False
230.0,7,1,0,False,0.875,7,False
231.0,8,0,1,False,1.0,9,True
232.0,8,0,1,False,1.0,9,True
233.0,8,0,3,False,1.0,11,True
234.0,8,0,3,False,1.0,11,True
235.0,8,0,2,False,1.0,10,True
236.0,8,0,4,False,1.0,12,True
237.0,8,0,2,False,1.0,10,True
238.0,8,0,1,False,1.0,9,True
239.0,8,0,2,False,1.0,10,True
240.0,7,1,0,False,0.875,7,False
241.0,8,0,0,False,1.0,8,False
242.0,8,0,2,False,1.0,10,True
243.0,8,0,1,False,1.0,9,True
244.0,8,0,3,False,1.0,11,True
245.0,8,0,2,False,1.0,10,True
246.0,7,1,0,False,0.875,7,False
247.0,8,0,0,False,1.0,8,False
248.0,8,0,1,False,1.0,9,True
249.0,8,0,4,False,1.0,12,True
250.0,8,0,2,False,1.0,10,True
251.0,8,0,3,False,1.0,11,True
252.0,8,0,2,False,1.0,10,True
253.0,8,0,2,False,1.0,10,True
254.0,8,0,4,False,1.0,12,True
255.0,8,0,2,False,1.0,10,True
256.0,8,0,4,False,1.0,12,True
257.0,8,0,4,False,1.0,12,True
258.0,8,0,3,False,1.0,11,True
259.0,8,0,0,False,1.0,8,False
260.0,8,0,4,False,1.0,12,True
261.0,8,0,3,False,1.0,11,True
262.0,8,0,3,False,1.0,11,True
263.0,8,0,3,False,1.0,11,True
264.0,8,0,2,False,1.0,10,True
265.0,8,0,3,False,1.0,11,True
266.0,8,0,5,True,1.0,13,True
267.0,8,0,1,False,1.0,9,True
268.0,8,0,1,False,1.0,9,True
269.0,7,1,0,False,0.875,7,False
270.0,8,0,1,False,1.0,9,True
271.0,8,0,2,False,1.0,10,True
272.0,8,0,2,False,1.0,10,True
273.0,8,0,1,False,1.0,9,True
274.0,8,0,4,False,1.0,12,True
275.0,8,0,3,False,1.0,11,True
276.0,8,0,1,False,1.0,9,True
277.0,8,0,2,False,1.0,10,True
278.0,8,0,3,False,1.0,11,True
279.0,8,0,3,False,1.0,11,True
280.0,8,0,3,False,1.0,11,True
281.0,8,0,1,False,1.0,9,True
282.0,8,0,2,False,1.0,10,True
283.0,8,0,3,False,1.0,11,True
284.0,8,0,3,False,1.0,11,True
285.0,8,0,3,False,1.0,11,True
286.0,8,0,3,False,1.0,11,True
287.0,8,0,1,False,1.0,9,True
288.0,8,0,4,False,1.0,12,True
289.0,8,0,3,False,1.0,11,True
290.0,8,0,2,False,1.0,10,True
291.0,8,0,1,False,1.0,9,True
292.0,8,0,3,False,1.0,11,True
293.0,8,0,3,False,1.0,11,True
294.0,8,0,3,False,1.0,11,True
295.0,8,0,5,True,1.0,13,True
296.0,8,0,4,False,1.0,12,True
297.0,8,0,4,False,1.0,12,True
298.0,7,1,0,False,0.875,7,False
299.0,8,0,0,False,1.0,8,False
300.0,8,0,1,False,1.0,9,True
301.0,8,0,2,False,1.0,10,True
302.0,8,0,1,False,1.0,9,True
303.0,8,0,1,False,1.0,9,True
304.0,7,1,0,False,0.875,7,False
305.0,8,0,1,False,1.0,9,True
306.0,7,1,0,False,0.875,7,False
307.0,8,0,2,False,1.0,10,True
308.0,8,0,3,False,1.0,11,True
309.0,8,0,3,False,1.0,11,True
310.0,8,0,3,False,1.0,11,True
311.0,8,0,2,False,1.0,10,True
312.0,8,0,4,False,1.0,12,True
313.0,8,0,1,False,1.0,9,True
314.0,8,0,2,False,1.0,10,True
315.0,8,0,5,True,1.0,13,True
316.0,8,0,1,False,1.0,9,True
317.0,8,0,1,False,1.0,9,True
318.0,8,0,2,False,1.0,10,True
319.0,8,0,3,False,1.0,11,True
320.0,8,0,3,False,1.0,11,True
321.0,8,0,3,False,1.0,11,True
322.0,8,0,2,False,1.0,10,True
323.0,8,0,4,False,1.0,12,True
324.0,8,0,2,False,1.0,10,True
325.0,8,0,3,False,1.0,11,True
326.0,8,0,2,False,1.0,10,True
327.0,8,0,1,False,1.0,9,True
328.0,8,0,3,False,1.0,11,True
329.0,8,0,1,False,1.0,9,True
330.0,8,0,1,False,1.0,9,True
331.0,8,0,2,False,1.0,10,True
332.0,6,2,0,False,0.75,6,False
333.0,8,0,2,False,1.0,10,True
334.0,8,0,2,False,1.0,10,True
335.0,8,0,2,False,1.0,10,True
336.0,8,0,0,False,1.0,8,False
337.0,8,0,3,False,1.0,11,True
338.0,8,0,3,False,1.0,11,True
339.0,8,0,2,False,1.0,10,True
340.0,8,0,1,False,1.0,9,True
341.0,8,0,3,False,1.0,11,True
342.0,8,0,0,False,1.0,8,False
343.0,8,0,4,False,1.0,12,True
344.0,8,0,2,False,1.0,10,True
345.0,8,0,5,True,1.0,13,True
346.0,8,0,3,False,1.0,11,True
347.0,8,0,2,False,1.0,10,True
348.0,8,0,3,False,1.0,11,True
349.0,8,0,3,False,1.0,11,True
350.0,8,0,2,False,1.0,10,True
351.0,8,0,4,False,1.0,12,True
352.0,8,0,1,False,1.0,9,True
353.0,8,0,1,False,1.0,9,True
354.0,8,0,0,False,1.0,8,False
355.0,8,0,4,False,1.0,12,True
356.0,8,0,2,False,1.0,10,True
357.0,8,0,0,False,1.0,8,False
358.0,6,2,0,False,0.75,6,False
359.0,8,0,1,False,1.0,9,True
