time,pickers_busy,available_pickers,queue_length,queue_full,picker_utilization,system_pressure,over_capacity_pressure
360.0,8,0,5,True,1.0,13,True
361.0,8,0,3,False,1.0,11,True
362.0,8,0,4,False,1.0,12,True
363.0,8,0,3,False,1.0,11,True
364.0,8,0,1,False,1.0,9,True
365.0,8,0,0,False,1.0,8,False
366.0,8,0,1,False,1.0,9,True
367.0,8,0,3,False,1.0,11,True
368.0,8,0,1,False,1.0,9,True
369.0,8,0,3,False,1.0,11,True
370.0,8,0,4,False,1.0,12,True
371.0,8,0,3,False,1.0,11,True
372.0,8,0,3,False,1.0,11,True
373.0,8,0,0,False,1.0,8,False
374.0,8,0,1,False,1.0,9,True
375.0,7,1,0,False,0.875,7,False
376.0,8,0,2,False,1.0,10,True
377.0,8,0,0,False,1.0,8,False
378.0,8,0,2,False,1.0,10,True
379.0,8,0,2,False,1.0,10,True
380.0,8,0,0,False,1.0,8,False
381.0,8,0,0,False,1.0,8,False
382.0,8,0,2,False,1.0,10,True
383.0,5,3,0,False,0.625,5,False
384.0,7,1,0,False,0.875,7,False
385.0,8,0,1,False,1.0,9,True
386.0,8,0,0,False,1.0,8,False
387.0,8,0,0,False,1.0,8,False
388.0,8,0,1,False,1.0,9,True
389.0,8,0,1,False,1.0,9,True
390.0,8,0,1,False,1.0,9,True
391.0,8,0,3,False,1.0,11,True
392.0,8,0,2,False,1.0,10,True
393.0,8,0,5,True,1.0,13,True
394.0,8,0,1,False,1.0,9,True
395.0,8,0,4,False,1.0,12,True
396.0,8,0,3,False,1.0,11,True
397.0,8,0,2,False,1.0,10,True
398.0,8,0,2,False,1.0,10,True
399.0,8,0,0,False,1.0,8,False
400.0,8,0,1,False,1.0,9,True
401.0,8,0,0,False,1.0,8,False
402.0,8,0,2,False,1.0,10,True
403.0,7,1,0,False,0.875,7,False
404.0,8,0,2,False,1.0,10,True
405.0,8,0,0,False,1.0,8,False
406.0,7,1,0,False,0.875,7,False
407.0,8,0,1,False,1.0,9,True
408.0,8,0,2,False,1.0,10,True
409.0,8,0,1,False,1.0,9,True
410.0,8,0,1,False,1.0,9,True
411.0,7,1,0,False,0.875,7,False
412.0,8,0,0,False,1.0,8,False
413.0,8,0,1,False,1.0,9,True
414.0,8,0,5,True,1.0,13,True
415.0,8,0,0,False,1.0,8,False
416.0,8,0,3,False,1.0,11,True
417.0,7,1,0,False,0.875,7,False
418.0,8,0,1,False,1.0,9,True
419.0,8,0,2,False,1.0,10,True
420.0,8,0,3,False,1.0,11,True
421.0,8,0,5,True,1.0,13,True
422.0,8,0,0,False,1.0,8,False
423.0,8,0,3,False,1.0,11,True
424.0,8,0,3,False,1.0,11,True
425.0,8,0,3,False,1.0,11,True
426.0,8,0,3,False,1.0,11,True
427.0,8,0,1,False,1.0,9,True
428.0,8,0,3,False,1.0,11,True
429.0,8,0,1,False,1.0,9,True
430.0,5,3,0,False,0.625,5,False
431.0,8,0,2,False,1.0,10,True
432.0,8,0,0,False,1.0,8,False
433.0,8,0,4,False,1.0,12,True
434.0,8,0,2,False,1.0,10,True
435.0,8,0,2,False,1.0,10,True
436.0,8,0,2,False,1.0,10,True
437.0,8,0,3,False,1.0,11,True
438.0,8,0,2,False,1.0,10,True
439.0,8,0,0,False,1.0,8,False
440.0,8,0,0,False,1.0,8,False
441.0,8,0,1,False,1.0,9,True
442.0,8,0,4,False,1.0,12,True
443.0,8,0,5,True,1.0,13,True
444.0,8,0,2,False,1.0,10,True
445.0,8,0,2,False,1.0,10,True
446.0,8,0,0,False,1.0,8,False
447.0,8,0,3,False,1.0,11,True
448.0,8,0,2,False,1.0,10,True
449.0,8,0,5,True,1.0,13,True
450.0,8,0,1,False,1.0,9,True
451.0,8,0,1,False,1.0,9,True
452.0,8,0,1,False,1.0,9,True
453.0,8,0,2,False,1.0,10,True
454.0,8,0,1,False,1.0,9,True
455.0,8,0,2,False,1.0,10,True
456.0,8,0,3,False,1.0,11,True
457.0,8,0,2,False,1.0,10,True
458.0,8,0,1,False,1.0,9,True
459.0,8,0,3,False,1.0,11,True
460.0,8,0,2,False,1.0,10,True
461.0,8,0,4,False,1.0,12,True
462.0,8,0,4,False,1.0,12,True
463.0,8,0,2,False,1.0,10,True
464.0,8,0,1,False,1.0,9,True
465.0,8,0,2,False,1.0,10,True
466.0,8,0,3,False,1.0,11,True
467.0,8,0,3,False,1.0,11,True
468.0,8,0,2,False,1.0,10,True
469.0,8,0,1,False,1.0,9,True
470.0,8,0,0,False,1.0,8,False
471.0,8,0,0,False,1.0,8,False
472.0,8,0,1,False,1.0,9,True
473.0,7,1,0,False,0.875,7,False
474.0,8,0,3,False,1.0,11,True
475.0,8,0,2,False,1.0,10,True
476.0,8,0,1,False,1.0,9,True
477.0,8,0,4,False,1.0,12,True
478.0,8,0,4,False,1.0,12,True
479.0,8,0,2,False,1.0,10,True
480.0,8,0,3,False,1.0,11,True
481.0,8,0,4,False,1.0,12,True
482.0,8,0,3,False,1.0,11,True
483.0,8,0,2,False,1.0,10,True
484.0,8,0,0,False,1.0,8,False
485.0,7,1,0,False,0.875,7,False
486.0,8,0,1,False,1.0,9,True
487.0,7,1,0,False,0.875,7,False
488.0,8,0,3,False,1.0,11,True
489.0,8,0,4,False,1.0,12,True
490.0,8,0,2,False,1.0,10,True
491.0,8,0,2,False,1.0,10,True
492.0,8,0,4,False,1.0,12,True
493.0,8,0,3,False,1.0,11,True
494.0,8,0,2,False,1.0,10,True
495.0,8,0,0,False,1.0,8,False
496.0,8,0,1,False,1.0,9,True
497.0,7,1,0,False,0.875,7,False
498.0,8,0,2,False,1.0,10,True
499.0,8,0,4,False,1.0,12,True
500.0,8,0,2,False,1.0,10,True
501.0,8,0,0,False,1.0,8,False
502.0,6,2,0,False,0.75,6,False
503.0,8,0,1,False,1.0,9,True
504.0,8,0,2,False,1.0,10,True
505.0,8,0,3,False,1.0,11,True
506.0,8,0,2,False,1.0,10,True
507.0,8,0,1,False,1.0,9,True
508.0,8,0,2,False,1.0,10,True
509.0,8,0,0,False,1.0,8,False
510.0,8,0,2,False,1.0,10,True
511.0,8,0,3,False,1.0,11,True
512.0,8,0,5,True,1.0,13,True
513.0,8,0,4,False,1.0,12,True
514.0,8,0,4,False,1.0,12,True
515.0,8,0,2,False,1.0,10,True
516.0,8,0,2,False,1.0,10,True
517.0,8,0,1,False,1.0,9,True
518.0,8,0,1,False,1.0,9,True
519.0,8,0,2,False,1.0,10,True
520.0,8,0,3,False,1.0,11,True
521.0,8,0,3,False,1.0,11,True
522.0,8,0,3,False,1.0,11,True
523.0,8,0,3,False,1.0,11,True
524.0,8,0,4,False,1.0,12,True
525.0,8,0,5,True,1.0,13,True
526.0,8,0,1,False,1.0,9,True
527.0,8,0,3,False,1.0,11,True
528.0,8,0,4,False,1.0,12,True
529.0,8,0,3,False,1.0,11,True
530.0,8,0,2,False,1.0,10,True
531.0,8,0,0,False,1.0,8,False
532.0,8,0,2,False,1.0,10,True
533.0,8,0,4,False,1.0,12,True
534.0,8,0,1,False,1.0,9,True
535.0,8,0,2,False,1.0,10,True
536.0,8,0,2,False,1.0,10,True
537.0,7,1,0,False,0.875,7,False
538.0,6,2,0,False,0.75,6,False
539.0,8,0,1,False,1.0,9,True
540.0,8,0,3,False,1.0,11,True
541.0,8,0,3,False,1.0,11,True
542.0,8,0,2,False,1.0,10,True
543.0,8,0,3,False,1.0,11,True
544.0,8,0,1,False,1.0,9,True
545.0,8,0,1,False,1.0,9,True
546.0,8,0,4,False,1.0,12,True
547.0,8,0,1,False,1.0,9,True
548.0,8,0,3,False,1.0,11,True
549.0,8,0,1,False,1.0,9,True
550.0,8,0,0,False,1.0,8,False
551.0,8,0,0,False,1.0,8,False
552.0,7,1,0,False,0.875,7,False
553.0,8,0,2,False,1.0,10,True
554.0,8,0,2,False,1.0,10,True
555.0,8,0,4,False,1.0,12,True
556.0,8,0,2,False,1.0,10,True
557.0,8,0,2,False,1.0,10,True
558.0,8,0,2,False,1.0,10,True
559.0,8,0,1,False,1.0,9,True
560.0,8,0,3,False,1.0,11,True
561.0,8,0,1,False,1.0,9,True
562.0,8,0,1,False,1.0,9,True
563.0,8,0,3,False,1.0,11,True
564.0,8,0,2,False,1.0,10,True
565.0,8,0,2,False,1.0,10,True
566.0,8,0,1,False,1.0,9,True
567.0,8,0,3,False,1.0,11,True
568.0,8,0,3,False,1.0,11,True
569.0,8,0,2,False,1.0,10,True
570.0,8,0,2,False,1.0,10,True
571.0,8,0,2,False,1.0,10,True
572.0,8,0,2,False,1.0,10,True
573.0,8,0,3,False,1.0,11,True
574.0,7,1,0,False,0.875,7,False
575.0,8,0,1,False,1.0,9,True
576.0,8,0,1,False,1.0,9,True
577.0,8,0,1,False,1.0,9,True
578.0,8,0,3,False,1.0,11,True
579.0,8,0,0,False,1.0,8,False
580.0,7,1,0,False,0.875,7,False
581.0,8,0,1,False,1.0,9,True
582.0,7,1,0,False,0.875,7,False
583.0,8,0,0,False,1.0,8,False
584.0,8,0,0,False,1.0,8,False
585.0,8,0,3,False,1.0,11,True
586.0,8,0,2,False,1.0,10,True
587.0,8,0,1,False,1.0,9,True
588.0,8,0,1,False,1.0,9,True
589.0,8,0,0,False,1.0,8,False
590.0,8,0,2,False,1.0,10,True
591.0,8,0,4,False,1.0,12,True
592.0,8,0,2,False,1.0,10,True
593.0,8,0,2,False,1.0,10,True
594.0,7,1,0,False,0.875,7,False
595.0,8,0,2,False,1.0,10,True
596.0,5,3,0,False,0.625,5,False
597.0,8,0,3,False,1.0,11,True
598.0,8,0,1,False,1.0,9,True
599.0,8,0,4,False,1.0,12,True
600.0,7,1,0,False,0.875,7,False
601.0,8,0,1,False,1.0,9,True
602.0,8,0,2,False,1.0,10,True
603.0,8,0,2,False,1.0,10,True
604.0,8,0,2,False,1.0,10,True
605.0,8,0,1,False,1.0,9,True
606.0,8,0,2,False,1.0,10,True
607.0,8,0,1,False,1.0,9,True
608.0,8,0,0,False,1.0,8,False
609.0,8,0,0,False,1.0,8,False
610.0,7,1,0,False,0.875,7,False
611.0,6,2,0,False,0.75,6,False
612.0,8,0,3,False,1.0,11,True
613.0,6,2,0,False,0.75,6,False
614.0,8,0,0,False,1.0,8,False
615.0,8,0,1,False,1.0,9,True
616.0,8,0,0,False,1.0,8,False
617.0,8,0,1,False,1.0,9,True
618.0,8,0,2,False,1.0,10,True
619.0,8,0,3,False,1.0,11,True
620.0,8,0,3,False,1.0,11,True
621.0,8,0,3,False,1.0,11,True
622.0,8,0,1,False,1.0,9,True
623.0,8,0,0,False,1.0,8,False
624.0,8,0,4,False,1.0,12,True
625.0,8,0,5,True,1.0,13,True
626.0,8,0,5,True,1.0,13,True
627.0,8,0,2,False,1.0,10,True
628.0,8,0,2,False,1.0,10,True
629.0,8,0,1,False,1.0,9,True
630.0,8,0,2,False,1.0,10,True
631.0,8,0,3,False,1.0,11,True
632.0,8,0,2,False,1.0,10,True
633.0,8,0,1,False,1.0,9,True
634.0,8,0,2,False,1.0,10,True
635.0,8,0,4,False,1.0,12,True
636.0,8,0,3,False,1.0,11,True
637.0,8,0,4,False,1.0,12,True
638.0,8,0,2,False,1.0,10,True
639.0,8,0,4,False,1.0,12,True
640.0,8,0,1,False,1.0,9,True
641.0,8,0,1,False,1.0,9,True
642.0,8,0,4,False,1.0,12,True
643.0,8,0,3,False,1.0,11,True
644.0,8,0,1,False,1.0,9,True
645.0,8,0,3,False,1.0,11,True
646.0,8,0,2,False,1.0,10,True
647.0,8,0,4,False,1.0,12,True
648.0,8,0,0,False,1.0,8,False
649.0,8,0,1,False,1.0,9,True
650.0,8,0,3,False,1.0,11,True
651.0,8,0,0,False,1.0,8,False
652.0,8,0,4,False,1.0,12,True
653.0,8,0,2,False,1.0,10,True
654.0,8,0,0,False,1.0,8,False
655.0,8,0,3,False,1.0,11,True
656.0,8,0,3,False,1.0,11,True
657.0,8,0,0,False,1.0,8,False
658.0,8,0,2,False,1.0,10,True
659.0,6,2,0,False,0.75,6,False
660.0,5,3,0,False,0.625,5,False
661.0,8,0,3,False,1.0,11,True
662.0,8,0,3,False,1.0,11,True
663.0,8,0,2,False,1.0,10,True
664.0,8,0,3,False,1.0,11,True
665.0,8,0,3,False,1.0,11,True
666.0,8,0,0,False,1.0,8,False
667.0,4,4,0,False,0.5,4,False
668.0,7,1,0,False,0.875,7,False
669.0,8,0,2,False,1.0,10,True
670.0,8,0,1,False,1.0,9,True
671.0,8,0,0,False,1.0,8,False
672.0,8,0,4,False,1.0,12,True
673.0,8,0,4,False,1.0,12,True
674.0,8,0,5,True,1.0,13,True
675.0,8,0,1,False,1.0,9,True
676.0,8,0,0,False,1.0,8,False
677.0,8,0,3,False,1.0,11,True
678.0,8,0,0,False,1.0,8,False
679.0,8,0,3,False,1.0,11,True
680.0,8,0,2,False,1.0,10,True
681.0,8,0,0,False,1.0,8,False
682.0,8,0,2,False,1.0,10,True
683.0,6,2,0,False,0.75,6,False
684.0,8,0,2,False,1.0,10,True
685.0,8,0,3,False,1.0,11,True
686.0,8,0,4,False,1.0,12,True
687.0,8,0,2,False,1.0,10,True
688.0,7,1,0,False,0.875,7,False
689.0,8,0,1,False,1.0,9,True
690.0,8,0,1,False,1.0,9,True
691.0,8,0,3,False,1.0,11,True
692.0,8,0,1,False,1.0,9,True
693.0,8,0,1,False,1.0,9,True
694.0,8,0,2,False,1.0,10,True
695.0,8,0,2,False,1.0,10,True
696.0,8,0,2,False,1.0,10,True
697.0,8,0,5,True,1.0,13,True
698.0,8,0,1,False,1.0,9,True
699.0,8,0,3,False,1.0,11,True
700.0,8,0,1,False,1.0,9,True
701.0,8,0,1,False,1.0,9,True
702.0,8,0,4,False,1.0,12,True
703.0,8,0,2,False,1.0,10,True
704.0,8,0,4,False,1.0,12,True
705.0,8,0,2,False,1.0,10,True
706.0,8,0,2,False,1.0,10,True
707.0,6,2,0,False,0.75,6,False
708.0,8,0,0,False,1.0,8,False
709.0,8,0,2,False,1.0,10,True
710.0,8,0,1,False,1.0,9,True
711.0,8,0,3,False,1.0,11,True
712.0,8,0,1,False,1.0,9,True
713.0,5,3,0,False,0.625,5,False
714.0,8,0,0,False,1.0,8,False
715.0,8,0,1,False,1.0,9,True
716.0,8,0,2,False,1.0,10,True
717.0,8,0,2,False,1.0,10,True
718.0,8,0,4,False,1.0,12,True
719.0,8,0,3,False,1.0,11,True
720.0,8,0,0,False,1.0,8,False
