fulfillment_rate,exception_rate,avg_waiting_time,avg_picker_utilization,peak_queue_length,pct_time_queue_full,pct_time_under_pressure,avg_fulfillment_time,exception_rate_low,exception_rate_medium,exception_rate_high,replication,seed,scenario
0.8322047515207162,0.16779524847928384,0.13416403442098987,0.9311719833564494,5.0,0.07905686546463246,0.6158113730929264,0.889048828508555,0.0903332415312586,0.17060895822848515,0.41155234657039713,0,754632238,stress_8_fifo
0.8212770835721656,0.17872291642783444,0.13234910512099987,0.9308252427184466,5.0,0.07073509015256588,0.6019417475728155,0.8956712098831724,0.10172317954419122,0.18129097327281896,0.4089732528041415,1,1269963636,stress_8_fifo
0.812001821908449,0.18799817809155095,0.13815347305871928,0.9230235783633842,5.0,0.05547850208044383,0.608876560332871,0.9041521213782928,0.1053639846743295,0.19569030318215985,0.42656112576956906,2,1010112635,stress_8_fifo
0.8358915175995384,0.1641084824004616,0.1259620996475764,0.9294382801664355,5.0,0.07212205270457697,0.5894590846047156,0.8784445466784118,0.08508256367198433,0.16828396322778344,0.3903061224489796,3,762641765,stress_8_fifo
0.8341592716376628,0.1658407283623372,0.12972633106275372,0.9244105409153953,5.0,0.06796116504854369,0.6144244105409153,0.8827206102647257,0.08303644834201152,0.17694509497788186,0.3848101265822785,4,3465503007,stress_8_fifo
0.8245694080073,0.17543059199269995,0.13743949415312018,0.9271844660194175,5.0,0.07073509015256588,0.6102635228848821,0.8938933150220594,0.09778748975689702,0.174337876060684,0.41248972884141333,5,776151533,stress_8_fifo
0.8360083740404746,0.16399162595952543,0.12417307835775351,0.917995839112344,5.0,0.07766990291262135,0.565880721220527,0.8803495686740641,0.08747570119411274,0.16957210776545167,0.3740710156895128,6,733853307,stress_8_fifo
0.8313183649971215,0.16868163500287847,0.13320812436248705,0.9349861303744799,5.0,0.06657420249653259,0.6102635228848821,0.8921411332287497,0.08558062740781508,0.17809992234015015,0.39225589225589225,7,2851848021,stress_8_fifo
0.8301207617278217,0.16987923827217832,0.1333112005148247,0.9221567267683772,5.0,0.0651872399445215,0.6061026352288488,0.8953477751859045,0.0868609125893348,0.18020565552699228,0.4114391143911439,8,584777063,stress_8_fifo
0.8336207887777395,0.16637921122226051,0.12849843521280452,0.933252427184466,5.0,0.08183079056865465,0.5686546463245492,0.880564499929061,0.08233989464929305,0.17439180537772087,0.3957805907172996,9,1007304296,stress_8_fifo
0.8263334490339003,0.17366655096609973,0.1304561657423948,0.9199029126213593,5.0,0.0638002773925104,0.5852981969486823,0.8907811323885465,0.09447953858829992,0.18654592496765848,0.3834652594547054,10,531882614,stress_8_fifo
0.8283684692942255,0.17163153070577453,0.13354693511396726,0.9244105409153953,5.0,0.06934812760055478,0.579750346740638,0.8881675817789016,0.09085872576177285,0.1804188745899571,0.3939393939393939,11,3277075098,stress_8_fifo
0.8271817868230424,0.17281821317695756,0.13300426324037196,0.9219833564493759,5.0,0.07628294036061026,0.5991678224687933,0.889122202729476,0.09275283937263386,0.17659352142110762,0.41332194705380015,12,2906421557,stress_8_fifo
0.8305025593299209,0.1694974406700791,0.13155315427330466,0.9270110957004161,5.0,0.05547850208044383,0.6144244105409153,0.8912653526116565,0.08928063690645437,0.16722322116619573,0.4148397976391231,13,2930659627,stress_8_fifo
0.8332561371005095,0.1667438628994905,0.1317825785444785,0.9245839112343966,5.0,0.0651872399445215,0.59500693481276,0.8894216438244308,0.09018421776189167,0.16955733885581153,0.4022887323943662,14,1952579384,stress_8_fifo
0.8121975919882976,0.18780240801170245,0.1417925658699706,0.937239944521498,5.0,0.07628294036061026,0.6213592233009708,0.9051827610752456,0.10285406569736133,0.20198757763975156,0.41289198606271776,15,487285696,stress_8_fifo
0.8292485549132947,0.17075144508670526,0.12677076137120197,0.9176490984743412,5.0,0.06934812760055478,0.5742024965325936,0.8818100641512515,0.09341416368145494,0.172137503230809,0.4097222222222222,16,3829531168,stress_8_fifo
0.8308440430705106,0.16915595692948937,0.12739575275498582,0.9282246879334258,5.0,0.05131761442441054,0.5936199722607489,0.8824282170904054,0.088139281828074,0.17248566961959355,0.42297417631344614,17,4141733491,stress_8_fifo
0.8325397747067704,0.16746022529322957,0.1292385665885658,0.9219833564493759,5.0,0.04854368932038835,0.5908460471567267,0.8834970750832633,0.09139183901621017,0.17743563856638062,0.38468720821662,18,3060987593,stress_8_fifo
0.8111136260751471,0.18888637392485286,0.14290403258775491,0.9316920943134536,5.0,0.0638002773925104,0.6421636615811374,0.9082219107407411,0.09886032335011927,0.19989878542510123,0.45544554455445546,19,2038127614,stress_8_fifo
0.8267716535433071,0.17322834645669294,0.125674262768533,0.930131761442441,5.0,0.07212205270457697,0.5922330097087378,0.888984517454895,0.09056295893391351,0.17782426778242677,0.42555066079295156,20,657646810,stress_8_fifo
0.8345969905517322,0.1654030094482678,0.12698671235518322,0.9235436893203883,5.0,0.0651872399445215,0.5880721220527045,0.8866227206246771,0.08323959505061868,0.17396874199333845,0.3976660682226212,21,993450946,stress_8_fifo
0.8227919584368647,0.1772080415631353,0.13690755674278374,0.9391470180305131,5.0,0.08460471567267684,0.6407766990291263,0.8936315029010963,0.0893719806763285,0.1945212364915808,0.402088772845953,22,2475694532,stress_8_fifo
0.8278443113772455,0.17215568862275454,0.13071496761174656,0.9249306518723994,5.0,0.08044382801664356,0.5742024965325936,0.8853266941141495,0.08844306301215032,0.18701233324943367,0.37457337883959047,23,2814144652,stress_8_fifo
0.8315255019616894,0.1684744980383106,0.13161413341377673,0.9244105409153953,5.0,0.06796116504854369,0.6102635228848821,0.8881859536245612,0.08520179372197309,0.18207282913165265,0.376601195559351,24,2928083520,stress_8_fifo
0.8282033743730051,0.17179662562699494,0.1314258142801295,0.9325589459084604,5.0,0.06657420249653259,0.6116504854368932,0.8857118336963246,0.09339280735991079,0.18172863826643684,0.3861209964412811,25,2634505506,stress_8_fifo
0.8135362253009312,0.18646377469906883,0.13738239973954516,0.9320388349514563,5.0,0.09153952843273232,0.6255201109570042,0.8986687048927418,0.09075907590759076,0.20005051780752714,0.42939719240297275,26,3541196182,stress_8_fifo
0.8376957232998364,0.16230427670016356,0.124852804193213,0.9238904299583911,5.0,0.047156726768377254,0.579750346740638,0.8848199258700252,0.08828428650749584,0.1652542372881356,0.3788135593220339,27,1936380336,stress_8_fifo
0.8259174311926606,0.1740825688073394,0.1291991044023859,0.926490984743412,5.0,0.06102635228848821,0.6074895977808599,0.889584060666658,0.09404473187819995,0.18877818563188253,0.3757322175732218,28,4134565031,stress_8_fifo
0.8130164119977362,0.18698358800226378,0.13640556066698523,0.9360263522884882,5.0,0.06796116504854369,0.6352288488210819,0.8996223961980891,0.10174029451137885,0.1926605504587156,0.4387755102040816,29,222548240,stress_8_fifo
